"Score","FirstReadIndex","StreamInfoPtr","ModeFlag","StreamBase","StreamSize","MatchReason","EntryIndex","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","EntryOffset","EntryEnd","FirstAsciiSample"
"3","63723","0x630d5c4","0x0","0x1969292","432","size+offset","406","patch20/vehicles/bikes/baggie_80s/minx_80s_seat_1.gfx",".gfx","0x45337A29","256","432","0x11","26645138","26645394","GFX2............................"
"3","63724","0x630d374","0x0","0x1968f83","433","size+offset","403","patch20/vehicles/bikes/baggie_80s/minx_80s_frame_1.gfx",".gfx","0xE48FDE0A","256","433","0x11","26644355","26644611","GFX2............................"
"3","63725","0x630e0b4","0x0","0x19694be","453","size+offset","408","patch20/vehicles/bikes/baggie_80s/minx_80s_tank_1.gfx",".gfx","0x39C87AAE","270","453","0x11","26645694","26645964","GFX2............................"
"3","63726","0x630c44c","0x0","0x1968b5f","462","size+offset","399","patch20/vehicles/bikes/baggie_80s/minx_80s_engine_fender_1.gfx",".gfx","0x05733127","275","462","0x11","26643295","26643570","GFX2............................"
"3","63727","0x630d20c","0x0","0x196918c","438","size+offset","405","patch20/vehicles/bikes/baggie_80s/minx_80s_head_light_1.gfx",".gfx","0x5B0FF1EE","262","438","0x11","26644876","26645138","GFX2............................"
"3","63728","0x630cbe4","0x0","0x1973640","442","size+offset","492","patch20/vehicles/bikes/roachac/kingcobra_ac_exhaust_pipe_1.gfx",".gfx","0x3D81AD9C","276","442","0x11","26687040","26687316","GFX2............................"
"3","63729","0x630d844","0x0","0x1973f6c","921","size+offset","500","patch20/vehicles/bikes/roachac/kingcobra_ac_swing_arm_1.gfx",".gfx","0x0F8BBA46","379","921","0x11","26689388","26689767","GFX2............................"
"3","63730","0x630e8b4","0x0","0x1973a91","733","size+offset","496","patch20/vehicles/bikes/roachac/kingcobra_ac_head_light_1.gfx",".gfx","0x27EB872A","414","733","0x11","26688145","26688559","GFX2............................"
"3","63731","0x630d2f4","0x0","0x1973e67","438","size+offset","499","patch20/vehicles/bikes/roachac/kingcobra_ac_steering_1.gfx",".gfx","0xD7FE8DFA","261","438","0x11","26689127","26689388","GFX2............................"
"3","63732","0x62142dc","0x0","0x1973983","446","size+offset","495","patch20/vehicles/bikes/roachac/kingcobra_ac_front_suspension_1.gfx",".gfx","0x4AB49C21","270","446","0x11","26687875","26688145","GFX2............................"
"3","63733","0x630e774","0x0","0x1973c2f","608","size+offset","497","patch20/vehicles/bikes/roachac/kingcobra_ac_rear_fender_1.gfx",".gfx","0xD0975F14","309","608","0x11","26688559","26688868","GFX2............................"
"3","63734","0x630f4cc","0x0","0x1973879","442","size+offset","494","patch20/vehicles/bikes/roachac/kingcobra_ac_front_fender_1.gfx",".gfx","0xD75693E8","266","442","0x11","26687609","26687875","GFX2............................"
"3","63735","0x630dd9c","0x0","0x1973d64","434","size+offset","498","patch20/vehicles/bikes/roachac/kingcobra_ac_seat_1.gfx",".gfx","0x3E4D9287","259","434","0x11","26688868","26689127","GFX2............................"
"3","63736","0x630e2fc","0x0","0x1973534","443","size+offset","491","patch20/vehicles/bikes/roachac/kingcobra_ac_engine_fender_1.gfx",".gfx","0x3EF762D1","268","443","0x11","26686772","26687040","GFX2............................"
"3","63737","0x630be04","0x0","0x1973430","436","size+offset","490","patch20/vehicles/bikes/roachac/kingcobra_ac_engine_1.gfx",".gfx","0x408F10C6","260","436","0x11","26686512","26686772","GFX2............................"
"3","63738","0x630b8ec","0x0","0x1973754","591","size+offset","493","patch20/vehicles/bikes/roachac/kingcobra_ac_frame_1.gfx",".gfx","0x56D26469","293","591","0x11","26687316","26687609","GFX2............................"
"3","63739","0x630ea84","0x0","0x1975b03","437","size+offset","524","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_exhaust_1.gfx",".gfx","0x8339BB52","261","437","0x11","26696451","26696712","GFX2............................"
"3","63740","0x630cb7c","0x0","0x19759b6","762","size+offset","523","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_chassis_1.gfx",".gfx","0xFC8E6199","333","762","0x11","26696118","26696451","GFX2............................"
"3","63741","0x630c40c","0x0","0x1975c08","439","size+offset","525","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_headlight_1.gfx",".gfx","0x4EA41D25","263","439","0x11","26696712","26696975","GFX2............................"
"3","63742","0x630be7c","0x0","0x1975d0f","438","size+offset","526","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_steering_1.gfx",".gfx","0xAD395CC9","262","438","0x11","26696975","26697237","GFX2............................"
"3","63743","0x630f2c4","0x0","0x19758b3","434","size+offset","522","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_body_1.gfx",".gfx","0xF053C7D0","259","434","0x11","26695859","26696118","GFX2............................"
"3","63744","0x6214404","0x0","0x1975f22","445","size+offset","528","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_suspension_rear_1.gfx",".gfx","0xFCF1E437","269","445","0x11","26697506","26697775","GFX2............................"
"3","63745","0x630dbbc","0x0","0x1975e15","446","size+offset","527","patch20/vehicles/bikes/tkopandacamo/fat_grizzly_camo_suspension_front_1.gfx",".gfx","0x1C92F26E","269","446","0x11","26697237","26697506","GFX2............................"
"3","63746","0x630bf64","0x0","0x16a32d7","591","size+offset","350","patch20/characters/female_officer/female_officer_torso.gfx",".gfx","0x1A7180D7","300","591","0x11","23737047","23737347","GFX2............................"
"3","63747","0x630df34","0x0","0x16a30a7","439","size+offset","348","patch20/characters/female_officer/female_officer_helmet.gfx",".gfx","0xA80EE297","263","439","0x11","23736487","23736750","GFX2............................"
"3","63748","0x630e234","0x0","0x16a31ae","591","size+offset","349","patch20/characters/female_officer/female_officer_legs.gfx",".gfx","0x75F722CB","297","591","0x11","23736750","23737047","GFX2............................"
"3","63749","0x630d59c","0x0","0x16a29e9","440","size+offset","342","patch20/characters/female_assassin/female_assassin_helmet.gfx",".gfx","0x426B8627","262","440","0x11","23734761","23735023","GFX2............................"
"3","63750","0x630df1c","0x0","0x16a2c1a","603","size+offset","344","patch20/characters/female_assassin/female_assassin_torso.gfx",".gfx","0x72A50697","308","603","0x11","23735322","23735630","GFX2............................"
