"Index","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","Protected","Compressed","Offset","End"
"145","objects/pack20/fat_grizzly_exhaust_3211258686.mdl",".mdl","0x78D5F6A0","10563","10435","0x10","True","False","12845444","12856007"
"146","objects/pack20/fat_grizzly_exhaust_54606941.mdl",".mdl","0x57A3BEE5","10558","10430","0x10","True","False","12856007","12866565"
"147","objects/pack20/fat_grizzly_frame_front_1688579461.mdl",".mdl","0xF43704F6","50332","50204","0x10","True","False","12866565","12916897"
"148","objects/pack20/fat_grizzly_frame_front_2399205678.mdl",".mdl","0x2B9C4455","50332","50204","0x10","True","False","12916897","12967229"
"149","objects/pack20/fat_grizzly_frame_rear_1207456319.mdl",".mdl","0xA4AC466C","20918","20790","0x10","True","False","12967229","12988147"
"150","objects/pack20/fat_grizzly_frame_rear_530296115.mdl",".mdl","0x2ACFF103","20918","20790","0x10","True","False","12988147","13009065"
"151","objects/pack20/fat_grizzly_headlight_116954528.mdl",".mdl","0x26F67F3D","7157","7029","0x10","True","False","13009065","13016222"
"152","objects/pack20/fat_grizzly_headlight_4239251317.mdl",".mdl","0xB16AEC75","7152","7024","0x10","True","False","13016222","13023374"
"153","objects/pack20/fat_grizzly_steering_2932295756.mdl",".mdl","0x6D031C50","78496","78368","0x10","True","False","13023374","13101870"
"154","objects/pack20/fat_grizzly_steering_3570372111.mdl",".mdl","0x9A270459","78496","78368","0x10","True","False","13101870","13180366"
"155","objects/pack20/fat_grizzly_suspension_front_1746745107.mdl",".mdl","0xC1051163","130600","130472","0x10","True","False","13180366","13310966"
"156","objects/pack20/fat_grizzly_suspension_front_2837276811.mdl",".mdl","0x92FC3631","130600","130472","0x10","True","False","13310966","13441566"
"157","objects/pack20/fat_grizzly_suspension_rear_2969575427.mdl",".mdl","0x1981ED9B","131075","130947","0x10","True","False","13441566","13572641"
"158","objects/pack20/fat_grizzly_suspension_rear_3618083979.mdl",".mdl","0xF5C14D94","131075","130947","0x10","True","False","13572641","13703716"
"159","objects/pack20/femalebase_head_1238191718.mdl",".mdl","0x6E53FD64","85840","85712","0x10","True","False","13703716","13789556"
"160","objects/pack20/femalebase_head_with_chest_1457439886.mdl",".mdl","0x8E7C19D9","95540","95412","0x10","True","False","13789556","13885096"
"161","objects/pack20/femalebase_legs_1065594045.mdl",".mdl","0xD8DC3B6C","74769","74641","0x10","True","False","13885096","13959865"
"162","objects/pack20/femalebase_legs_calf_3230567692.mdl",".mdl","0xB4991C90","5860","5732","0x10","True","False","13959865","13965725"
"163","objects/pack20/femalebase_torso_1770813815.mdl",".mdl","0x23D731F7","139535","139407","0x10","True","False","13965725","14105260"
"164","objects/pack20/femalebase_waist_2643661878.mdl",".mdl","0x4F5095BB","9588","9460","0x10","True","False","14105260","14114848"
"165","objects/pack20/female_assassin_helmet_841435873.mdl",".mdl","0xFBCB716A","115961","115833","0x10","True","False","14114848","14230809"
"166","objects/pack20/female_assassin_lower_744042567.mdl",".mdl","0xB4DBCAD6","238243","238115","0x10","True","False","14230809","14469052"
"167","objects/pack20/female_assassin_upper_2034972213.mdl",".mdl","0xC52F6CC4","296392","296264","0x10","True","False","14469052","14765444"
"168","objects/pack20/female_indian_head_2110807004.mdl",".mdl","0x3C630392","72136","72008","0x10","True","False","14765444","14837580"
"169","objects/pack20/female_indian_helmet__3107186031.mdl",".mdl","0xA8073EE3","50566","50438","0x10","True","False","14837580","14888146"
"170","objects/pack20/female_indian_legs_3676713675.mdl",".mdl","0xE5F78D6A","176100","175972","0x10","True","False","14888146","15064246"
"171","objects/pack20/female_indian_torso_3922541097.mdl",".mdl","0x2E9B8353","207044","206916","0x10","True","False","15064246","15271290"
"172","objects/pack20/female_officer_helmet_3476073005.mdl",".mdl","0xAAF29C35","124289","124161","0x10","True","False","15271290","15395579"
"173","objects/pack20/female_officer_legs_2273779713.mdl",".mdl","0x70F453D9","93966","93838","0x10","True","False","15395579","15489545"
"174","objects/pack20/female_officer_torso_3800890535.mdl",".mdl","0x0A034ABA","260643","260515","0x10","True","False","15489545","15750188"
"175","objects/pack20/female_outfit_1_bottom_1900774902.mdl",".mdl","0x2A2723C1","110890","110762","0x10","True","False","15750188","15861078"
"176","objects/pack20/female_outfit_1_helmet_2891539579.mdl",".mdl","0x01A13869","92672","92544","0x10","True","False","15861078","15953750"
"177","objects/pack20/female_outfit_1_top_2975991920.mdl",".mdl","0xCE4898F0","134597","134469","0x10","True","False","15953750","16088347"
"178","objects/pack20/female_tech_bottom_2598797814.mdl",".mdl","0x61D0DC98","218738","218610","0x10","True","False","16088347","16307085"
"179","objects/pack20/female_tech_helmet_453685687.mdl",".mdl","0xD320A9B8","52314","52186","0x10","True","False","16307085","16359399"
"180","objects/pack20/female_tech_top_3580445456.mdl",".mdl","0x93D5E65C","337528","337400","0x10","True","False","16359399","16696927"
"181","objects/pack20/front_suspension_3993753994.mdl",".mdl","0x906521F7","21298","21170","0x10","True","False","16696927","16718225"
"182","objects/pack20/front_tire_868892813.mdl",".mdl","0x87A9FD05","49374","49246","0x10","True","False","16718225","16767599"
"183","objects/pack20/fusion_rim_1_2727850633.mdl",".mdl","0x4C288244","46415","46287","0x10","True","False","16767599","16814014"
"184","objects/pack20/fusion_rim_front_3095069994.mdl",".mdl","0xD3E1F249","41286","41158","0x10","True","False","16814014","16855300"
"185","objects/pack20/generic_medium_icon_1_2202330545.mdl",".mdl","0x26592A96","556","428","0x10","True","False","16855300","16855856"
"186","objects/pack20/generic_medium_icon_1_2788949741.mdl",".mdl","0xDB0E28F2","555","427","0x10","True","False","16855856","16856411"
"187","objects/pack20/grinder_rims_2908588824.mdl",".mdl","0xD4362890","102191","102063","0x10","True","False","16856411","16958602"
"188","objects/pack20/holograph_rim_4001218887.mdl",".mdl","0x6BE6DD44","69220","69092","0x10","True","False","16958602","17027822"
"189","objects/pack20/horror_mask_4050851301.mdl",".mdl","0x3D1B0F8F","211932","211804","0x10","True","False","17027822","17239754"
"190","objects/pack20/kingcobra_engine_1_1029731427.mdl",".mdl","0x8C84D9D1","135581","135453","0x10","True","False","17239754","17375335"
"191","objects/pack20/kingcobra_engine_1_2297210984.mdl",".mdl","0xEB15FF82","135571","135443","0x10","True","False","17375335","17510906"
"192","objects/pack20/kingcobra_engine_1_2701716106.mdl",".mdl","0x2827A6B2","135581","135453","0x10","True","False","17510906","17646487"
"193","objects/pack20/kingcobra_engine_1_351581600.mdl",".mdl","0x9444B7DE","135581","135453","0x10","True","False","17646487","17782068"
"194","objects/pack20/kingcobra_engine_fender_1_1735367833.mdl",".mdl","0xFAA43DB5","20490","20362","0x10","True","False","17782068","17802558"
"195","objects/pack20/kingcobra_engine_fender_1_2272960759.mdl",".mdl","0x53751A5F","20494","20366","0x10","True","False","17802558","17823052"
"196","objects/pack20/kingcobra_engine_fender_1_3991271334.mdl",".mdl","0x46872CA3","20486","20358","0x10","True","False","17823052","17843538"
"197","objects/pack20/kingcobra_engine_fender_1_851983372.mdl",".mdl","0xD983AA34","20490","20362","0x10","True","False","17843538","17864028"
"198","objects/pack20/kingcobra_exhaust_pipe_1_2012970380.mdl",".mdl","0xB4FB8695","23536","23408","0x10","True","False","17864028","17887564"
"199","objects/pack20/kingcobra_exhaust_pipe_1_2342679984.mdl",".mdl","0xDF6D143A","23536","23408","0x10","True","False","17887564","17911100"
"200","objects/pack20/kingcobra_exhaust_pipe_1_2839996341.mdl",".mdl","0x3CBDE293","23536","23408","0x10","True","False","17911100","17934636"
"201","objects/pack20/kingcobra_exhaust_pipe_1_2992128280.mdl",".mdl","0x32551DCD","23536","23408","0x10","True","False","17934636","17958172"
"202","objects/pack20/kingcobra_frame_1_2135418044.mdl",".mdl","0x1FD3955E","96463","96335","0x10","True","False","17958172","18054635"
