"Status","Index","Name","Extension","Flag","StoredSize","ExpandedSize","ActualSize","MissingBytes","DumpPath"
"missing","60","objects/pack20/bounty_hunter_legs_3054725473.mdl",".mdl","0x10","285989","285861","0","285861","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\060_objects_pack20_bounty_hunter_legs_3054725473.mdl"
"missing","61","objects/pack20/bounty_hunter_torso_3552621367.mdl",".mdl","0x10","248588","248460","0","248460","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\061_objects_pack20_bounty_hunter_torso_3552621367.mdl"
"partial","62","objects/pack20/catrider_still_3761307275.mdl",".mdl","0x10","565670","565542","376157","189385","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\062_objects_pack20_catrider_still_3761307275.mdl"
"missing","63","objects/pack20/cat_rider_2_2119218817.mdl",".mdl","0x10","53724","53596","0","53596","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\063_objects_pack20_cat_rider_2_2119218817.mdl"
"missing","64","objects/pack20/cat_rider_983735987.mdl",".mdl","0x10","593843","593715","0","593715","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\064_objects_pack20_cat_rider_983735987.mdl"
"partial","65","objects/pack20/cheetah_backswing_2752928713.mdl",".mdl","0x10","35647","35519","10722","24797","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\065_objects_pack20_cheetah_backswing_2752928713.mdl"
"missing","66","objects/pack20/cheetah_backswing_3433585337.mdl",".mdl","0x10","35652","35524","0","35524","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\066_objects_pack20_cheetah_backswing_3433585337.mdl"
"partial","67","objects/pack20/cheetah_backswing_402872395.mdl",".mdl","0x10","35652","35524","10723","24801","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\067_objects_pack20_cheetah_backswing_402872395.mdl"
"missing","68","objects/pack20/cheetah_backswing_798942192.mdl",".mdl","0x10","35652","35524","0","35524","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\068_objects_pack20_cheetah_backswing_798942192.mdl"
"missing","69","objects/pack20/cheetah_engine_1254426453.mdl",".mdl","0x10","101186","101058","0","101058","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\069_objects_pack20_cheetah_engine_1254426453.mdl"
"partial","70","objects/pack20/cheetah_engine_1907526078.mdl",".mdl","0x10","101186","101058","35087","65971","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\070_objects_pack20_cheetah_engine_1907526078.mdl"
"missing","71","objects/pack20/cheetah_engine_2816672723.mdl",".mdl","0x10","101186","101058","0","101058","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\071_objects_pack20_cheetah_engine_2816672723.mdl"
"partial","72","objects/pack20/cheetah_engine_2836603877.mdl",".mdl","0x10","101186","101058","35087","65971","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\072_objects_pack20_cheetah_engine_2836603877.mdl"
"partial","73","objects/pack20/cheetah_engine_fender_1221583678.mdl",".mdl","0x10","32301","32173","7656","24517","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\073_objects_pack20_cheetah_engine_fender_1221583678.mdl"
"missing","74","objects/pack20/cheetah_exhaust_2529672648.mdl",".mdl","0x10","36997","36869","0","36869","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\074_objects_pack20_cheetah_exhaust_2529672648.mdl"
"partial","75","objects/pack20/cheetah_exhaust_3636672776.mdl",".mdl","0x10","37007","36879","14438","22441","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\075_objects_pack20_cheetah_exhaust_3636672776.mdl"
"partial","76","objects/pack20/cheetah_exhaust_3748034281.mdl",".mdl","0x10","37007","36879","14438","22441","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\076_objects_pack20_cheetah_exhaust_3748034281.mdl"
"missing","77","objects/pack20/cheetah_exhaust_86085234.mdl",".mdl","0x10","37007","36879","0","36879","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\077_objects_pack20_cheetah_exhaust_86085234.mdl"
"missing","78","objects/pack20/cheetah_fender_front_1771381755.mdl",".mdl","0x10","10151","10023","0","10023","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\078_objects_pack20_cheetah_fender_front_1771381755.mdl"
"missing","79","objects/pack20/cheetah_fender_front_1910176367.mdl",".mdl","0x10","10131","10003","0","10003","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\079_objects_pack20_cheetah_fender_front_1910176367.mdl"
"missing","80","objects/pack20/cheetah_fender_front_2274726132.mdl",".mdl","0x10","10161","10033","0","10033","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\080_objects_pack20_cheetah_fender_front_2274726132.mdl"
"partial","81","objects/pack20/cheetah_fender_front_3486927829.mdl",".mdl","0x10","10161","10033","2973","7060","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\081_objects_pack20_cheetah_fender_front_3486927829.mdl"
"partial","82","objects/pack20/cheetah_fender_front_3666612002.mdl",".mdl","0x10","10161","10033","2973","7060","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\082_objects_pack20_cheetah_fender_front_3666612002.mdl"
